	医疗理论	病情控制	外科手术	康复训练	健康评估	智能体检	环境监测	疾病传播预测	工业生产规划	科技创新	决策理论	图像检测	知识网络	运动仿真	语义学习	仿真控制	互联网传播	模型算法	智能教育	机器人教学	教育创新	专业设置	云课堂	网络控制	定位匹配	机器焊接	运动模型	空间定位	智能制造	责任判断	艺术逻辑	机械器官	辅助治疗	新闻媒体	家庭机器人	临床识别	环境识别	产业自动化	风险识别	分类系统	计算机视觉	智能机器人	算法优化	机器人生产	知识工程	快速采集	驱动作业	工程优化	工业科技	测绘	材料仿真	理论创新	寻路
医疗理论	0	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0
病情控制	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1
外科手术	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1
康复训练	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0
健康评估	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
智能体检	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
环境监测	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1
疾病传播预测	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
工业生产规划	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1
科技创新	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0
决策理论	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
图像检测	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
知识网络	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
运动仿真	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1
语义学习	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
仿真控制	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1
互联网传播	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
模型算法	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0
智能教育	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
机器人教学	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
教育创新	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
专业设置	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
云课堂	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0
网络控制	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	1	1	1	0
定位匹配	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	1	0	1
机器焊接	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1
运动模型	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1
空间定位	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
智能制造	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
责任判断	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
艺术逻辑	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
机械器官	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
辅助治疗	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
新闻媒体	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
家庭机器人	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0
临床识别	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
环境识别	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1
产业自动化	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0	1
风险识别	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0
分类系统	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
计算机视觉	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0
智能机器人	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0
算法优化	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1
机器人生产	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1
知识工程	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1
快速采集	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1
驱动作业	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1
工程优化	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	1	1	1	1	1
工业科技	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	1	1	0
测绘	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1
材料仿真	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1
