	人工智能	机器人	计算机视觉	学习	路径规划	问题解答	大数据	深度学习	机器学习	神经网络	中华人民共和国	智能机器人	知识工程	图像处理	机器视觉	仿真	遗传算法	运动学	记忆	人工智能技术	轨迹规划	语义网络	决策系统	智能制造	多机器人系统	人机交互	AI	领域	蚁群算法	模糊控制	控制系统	人类	动力学	创新	算法	物联网	模式识别	模式分类	产业	工作空间	专家系统	数据挖掘	智能化	支持向量机	避障	机械臂	轨迹跟踪	特征提取	运动控制	粗糙集	虚拟现实	媒体融合	视觉伺服	学生	定理证明	粒子群算法	农业机器人	遥操作	传感器	滑模控制	企业	新闻	BP神经网络	故障诊断	图书馆	区块链	云计算	自然语言处理	企业管理	目标跟踪	自然语言理解	导航	人工神经网络	控制	腹腔镜	图像识别	模型	图像分割	优化	PLC	美国	离线编程	逆运动学	人类智能	ADAMS	标定	定位	卷积神经网络	设计	模块化	机械手	计算机	会议	强化学习	四点共圆	双目视觉	手眼标定	外接圆	粒子滤波	综述	无人机	并联机构	结构设计	建模	研讨会	学习(人工智能)	机器	人工智能领域	知识图谱	稳定性	知识表示	自适应	不确定性	检测	激光技术	同时定位与地图创建	语音识别	智慧教育	卡尔曼滤波	互联网	摄像机标定	越障	不等式	本体	力控制	末端执行器	人工势场法	智慧图书馆	智能控制	智能装备	智能	分类	教育信息化	美利坚合众国	教育	网络安全	属性约简	智能技术	阻抗控制	知识库	新闻业	单片机	MATLAB	广东	焊缝跟踪	模糊神经网络	手势识别	嵌入式系统	外科手术	延长线	有限元分析	自动化
人工智能	2674	711	28	3	5	49	119	69	85	35	92	33	10	3	26	1	12	0	2	2	1	1	8	40	0	9	37	47	2	2	4	42	0	30	13	23	18	0	38	0	23	19	10	5	0	8	0	0	2	5	19	23	0	0	1	3	0	1	2	0	31	30	4	13	22	16	13	19	31	0	5	1	9	1	0	3	2	1	0	2	24	1	0	26	0	0	0	7	0	1	2	14	22	12	0	0	0	0	0	3	14	0	0	3	17	16	17	8	9	0	2	0	5	0	1	0	3	14	1	9	0	0	0	2	0	0	0	13	9	19	0	1	7	17	6	10	1	6	0	7	15	0	0	19	0	0	0	1	10	0	0	3
机器人	711	2590	6	1	83	0	4	2	2	28	66	1	2	25	29	45	26	47	2	11	44	0	1	40	1	15	10	28	18	24	39	22	30	17	12	7	4	0	34	19	0	3	6	7	20	17	22	5	16	1	9	4	15	0	1	10	0	14	15	22	21	26	3	2	7	3	4	2	21	4	1	21	2	20	25	5	16	4	15	18	17	19	15	3	18	19	15	0	18	16	11	5	4	1	0	11	11	0	7	4	7	7	10	13	4	0	1	2	0	8	0	7	4	9	12	6	6	0	8	3	2	11	0	0	11	12	4	2	6	19	7	2	0	13	0	1	0	3	11	0	7	10	10	19	5	5	2	8	18	0	9	4
计算机视觉	28	6	501	0	1	0	3	16	6	13	1	0	0	42	27	1	2	0	0	0	0	0	0	0	0	9	0	3	1	1	1	0	0	0	5	1	15	0	0	0	0	2	1	5	1	1	1	13	1	0	3	0	1	0	0	1	1	0	1	0	0	0	5	0	1	0	0	2	0	7	0	1	4	1	0	10	4	14	0	1	0	0	0	0	0	1	2	7	0	0	0	0	4	0	0	1	1	0	1	7	3	0	0	2	1	0	0	0	1	1	0	0	0	10	0	1	1	0	0	0	13	0	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	8	3	0	0	0	1
学习	3	1	0	438	0	0	3	0	1	1	0	0	0	0	0	1	1	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
路径规划	5	83	1	0	245	0	0	0	0	5	0	2	0	0	1	1	18	0	0	0	0	0	0	1	1	0	0	0	39	7	1	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	1	0	1	0	0	0	1	0	0	17	5	0	2	0	0	0	1	0	0	0	1	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	3	1	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0
问题解答	49	0	0	0	0	178	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	27	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
大数据	119	4	3	3	0	0	176	8	4	3	0	2	1	0	0	0	0	0	0	0	0	1	2	1	0	0	3	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0	4	1	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	1	0	0	2	4	9	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	0	9	0	0	0	0	0	0	0	5	0	0	1	0	2	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
深度学习	69	2	16	0	0	0	8	135	18	10	0	3	0	1	0	0	1	0	0	2	0	1	0	0	0	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	3	0	5	0	0	2	0	0	4	0	2	0	0	1	0	0	0	0	0	0	14	0	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
机器学习	85	2	6	1	0	0	4	18	130	6	2	2	2	2	1	0	0	0	0	2	0	1	0	0	0	2	2	4	0	0	0	5	0	1	0	1	5	0	0	0	0	4	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	5	0	1	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	4	1	0	0	0	0	0	0	0	0	0	0	0	25	0	3	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
神经网络	35	28	13	1	5	0	3	10	6	127	0	2	0	2	0	0	12	0	0	2	0	0	1	0	0	0	0	0	0	4	0	1	0	0	1	0	1	3	0	0	6	3	0	2	2	0	5	1	2	4	0	0	1	0	0	1	1	0	0	2	0	0	0	6	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0
