	机器人	计算机	图像	控制系统	计算机视觉	神经网络	软件	移动机器人	自动化	智能机器人	科技	机器	机械	路径规划	机器学习	工业	传感器	设备	信息技术	互联网	遗传算法	人机交互	控制器	模式识别	智慧城市	产品	企业	动力学	语言	用户	科学技术	工程	专家系统	硬件	AI	法律	虚拟现实	Matlab	装置	特征提取	深度学习	运动轨迹	控制算法	学科	文化	障碍物	数据挖掘	工具	视频	控制策略	新技术	汽车	教师	物联网	图书馆	数字	图像处理	应用领域	工艺	工作空间	工业机器人	课程	患者	专业委员会	智能控制	数字化	粒子	会议	数据库	哲学	自然语言处理	语音	信号	治疗	难题	摄像机	人工神经网络	新媒体	论坛	控制技术	物理	艺术	知识工程	文献	地图	智能系统	生态	传统媒体	工件	模糊控制	装备	制造业	末端执行器	智能制造	金融	认知科学	无线通信	电子	农业	机器人运动学
机器人	0	0.30117197	0.773734548	2.0880299	0.042962272	0.916272	1.762150929	2.366025604	1.581558135	1.56055619	0.520851914	0.766424273	2.143003259	2.186827898	0.187561486	2.265032163	1.879570895	1.346070261	0.307505632	0.154170502	1.29384213	1.410728354	2.055562557	0.218766434	0.245938844	0.859776901	0.781289847	2.112253855	0.604151103	0.554839252	0.483023453	0.69360877	0.066091954	1.76899021	0.307120096	0.342287617	0.688119449	2.154720204	1.93625731	0.722558349	0.176257128	2.375436832	2.26301125	0.201917746	0.317482082	2.476107499	0.114847207	0.857139578	0.390635387	2.073613991	0.324458653	1.283087543	0.182653543	0.637913804	0.398537193	0.357015703	0.807946449	0.858980154	1.717491333	2.251118976	2.119001125	0.432664128	1.476545166	0.212371775	1.110309859	0.333046135	1.609394704	0.140386795	0.402014072	0.042949471	0.463051862	0.991568668	1.386074148	1.118428226	0.758635228	1.053679602	0.516034451	0.300824885	0.680731573	1.270999116	1.172428553	0.156603735	0	0.393464945	2.23628282	0.318755832	0.174330717	0.240585099	2.570950935	2.183340267	1.65429637	1.180213816	2.089873711	0.990514784	0.18386958	0.3753362	1.867341444	1.13998411	1.697245785	2.318919937
计算机	0.237330161	0	5.3206469	0.632761032	1.414072495	1.501445556	1.282024364	0.445253475	1.777849231	0.776748054	0.650285021	1.92730431	0.877382646	0.086743834	2.472457461	0.612048758	0.786773387	1.756393322	1.835435435	1.023131513	0.476412101	3.47605201	0.111832803	2.379597701	3.225755914	0.666771753	0.565418806	0.589837928	0.914671982	0.982033861	0.932742974	1.431106604	0.870143149	1.844200751	0.841485986	0.749572473	1.650454821	0.165577236	1.016632373	4.069829424	3.373015873	1.101906	0	3.311038961	0.172560976	0	1.774381477	1.365853659	5.409836066	0.36424054	1.283577086	0.983808493	0.478544842	1.548429716	0	1.283577086	4.451978221	1.250312853	0.46245757	0.452315594	0.595752109	1.032795577	0.432142857	1.045714286	1.965185185	0.727717133	0.424373415	1.855296533	4.073883657	1.703868139	4.122862316	2.378277915	0.879388656	0.986119703	0.782755102	4.063211694	1.542912247	0.393273508	1.028471061	1.44559622	0.763514186	0.684250943	0.788148945	2.377230325	0.266572858	1.397137014	0.284970487	0.393273508	0.284970487	0	1.542912247	0.7325544	0	0.995635729	0.400875547	4.16392644	0.972386681	4.333767927	1.456625683	0.41699187
图像	0.713987882	5.081305643	0	0.561705669	10.04848485	2.253377228	0.903375489	1.121208232	1.388387276	0.564483571	0	1.179868498	0.717722879	0.431090567	1.431476402	0.647111739	1.839605407	1.66778998	0.274969442	0.091855992	0.489423356	1.328659416	0.93257185	2.252873563	0	0.217648572	0.115396409	0.096107148	0	0.804837195	0	0.231178759	0	1.230601885	0.412708705	0	0.502808158	1.521398981	1.31819468	7.705952925	2.421652422	1.296673888	0.701611792	0.779067991	0.141736227	1.201629087	0.619059151	0	4.703763565	0.600141293	0.348440379	0.604374815	0	0.721511833	0	1.407887479	7.720891774	1.025843935	0.189538119	0.37138287	0.489154324	0.210783404	0.23606466	0	0.915704698	0.797721242	1.229824139	0	1.452773826	0	0.830442535	1.701992732	1.452773826	0.160676599	1.074369748	8.020947687	2.034976153	0	0	0	1.047960648	0.280440078	0	0.770605535	1.772349272	0.571237458	0.234065909	0	2.618438496	1.109114527	0.7567248	0.300237238	0.601478613	0.408061054	0.329266727	0.335755671	1.199602664	0	3.148495173	0
控制系统	3.692197607	0.630355317	0.556455026	0	0.430649351	1.845917236	2.820169374	2.202044192	1.995806709	2.133505109	0.101085973	1.044396062	2.505147801	0.552823395	0	1.230079947	1.923223835	1.50694732	0.565570221	0.141081382	0.754422012	3.923318769	5.240165631	1.138109702	0	0.503172086	0.355385342	2.940310362	0.767347555	0.527174289	0.233424908	0.714443917	0.27275641	7.448922586	0.635018291	0	1.29609875	2.13816273	1.4743255	0.822028424	0	1.802444593	8.208463805	0.476653424	0	0.202325581	0.3158789	0.2123202	0.42926377	5.331336471	0	0.61835778	0	0.275654521	0	1.076833834	1.214292079	1.181835667	2.371453438	1.147736209	3.838770154	0	0.545747423	0.437948718	4.692380952	0.61110779	0.267137624	0	0.552726289	0	0	1.114817773	3.11199446	0.49483436	0.988530928	0.332002597	1.164342025	0	0.863668928	7.540229885	0.319762351	0	0	0	0	0.437948718	0.359501229	0	1.084062985	5.683478409	1.164342025	0	1.390531742	0	0	0.515686275	8.209979082	1.343132972	3.34947644	0
计算机视觉	0.030989414	1.422051579	12.944	0.42988426	0	2.355803465	1.378836273	0.086109506	1.388387276	0.116355945	0	0.201559423	0.29553295	0.118880128	0.917821036	0.357089671	1.208883553	1.641573738	0.305692284	0	0.65439752	1.714116653	0.153263897	4.624319419	0	0	0	0.483766234	0	0.572951328	0	0.192541641	0	2.072039072	0.228771678	0	0.558987841	0.915325843	2.855973025	6.707454819	1.872836009	1.296673888	0	0.517927882	0.236490251	0.219796593	0.343155351	0.230654256	5.698253636	0	0.290205219	1.010677212	0	0.903405573	0	0.582031695	13.05363985	3.031034629	0	0	0.407401512	0.351697101	0	0.475766017	0.762234637	0.998827438	1.467375683	0	0.903405573	0	0.923229411	0	0.903405573	0	0.356128134	5.239116119	2.12096106	0	0	0	1.40120581	0	0	0.641453769	0	0	0	0	0	0.460328871	0.419465836	0	0	0	0	0	0	0	2.002347418	0
神经网络	0.886546962	1.509931171	2.318328358	1.847177746	2.348441926	0	0.48772666	1.613606981	0.508216032	0.329777244	0	1.166980163	0.750259649	1.619218226	5.397598096	0.448482015	1.368547419	0.345926773	0.431991465	0.288828027	5.857609988	1.116911117	4.339742805	3.333520232	0	0.170358437	0	1.385330579	0.982022168	0.538272695	0.238313388	2.817491127	7.74719888	0.424196975	1.976367086	0.577565316	0.525243168	1.960363636	0.744942832	5.55385824	9.798270893	0.80742754	3.167710694	1.226310726	0.222251309	1.683348837	4.673980475	1.09530262	1.78115847	3.644879863	0.27273213	0	0.307546489	0.56433209	1.263651316	0.546895924	0.616707394	1.613200488	0.297207679	0.582905398	0.767754031	0.662778264	0.184773124	0	4.413153639	0.623939449	2.507093747	0	1.134620192	0.36203481	4.886663198	4.663604267	2.587025049	0.505224583	0.671128609	2.762261603	6.994535519	0	0	1.865162406	0	0.439747661	0.506519806	0.906475458	1.384209458	4.579088472	0	0	1.106885364	6.269953667	0.39421004	0.470790851	0.944053046	0	0.516310914	2.660286337	1.253128243	1.371409456	0	1.619684211
软件	2.537786472	1.286237664	0.901392758	2.826394462	1.377839335	0.487625986	0	0.751945444	2.351998842	0.445565698	0.314549437	0.678908486	2.062952073	0.920279592	0.87094308	1.270191249	1.146637517	1.80566173	0.880197087	0.145560156	1.578357163	1.961659384	1.186452596	0.232439336	2.095034595	1.224565757	0.551508901	5.30888132	0.791902676	1.282979721	0.240835223	1.490511029	1.422125668	7.963837129	1.097981715	0.388107551	2.157602664	5.263123596	3.519390582	0.210400132	0.501031536	3.152627448	1.116200579	0.245262145	0.450397878	0.418604651	0.653542552	1.558156307	1.343031688	1.438408353	0.275618184	1.282886275	0.623250709	1.729307182	0	0	1.889803088	0	2.761621622	2.394468534	1.955309396	1.007387707	1.522012579	0	1.088617021	0.948354775	0	0.79887658	3.515158468	0	0.876700608	1.150397063	0.284405458	0.510585056	0.678249337	0.342542362	0.79887658	0	0	0.937528583	1.330211382	0	2.063899371	2.792924385	0.695776372	0	0	0.511879804	3.799606489	0.876700608	0.79887658	0.954069524	0.954069524	0	0	0	3.191456287	0.921548352	2.286863271	3.300160858
移动机器人	5.36017954	0.441015996	1.125099338	2.220344967	0.085817805	1.619614883	0.750894913	0	0.810994472	1.472723162	0.369595588	0.338241906	0.440983336	14.52113369	0	0.398378165	5.307293649	0.410788043	0.169934531	0	4.049897237	1.328982848	3.056763285	0	0	0.405463695	0	2.221280327	0.230561726	0.211742882	0.567200712	0.430669464	0	1.529517801	0	0	0	3.143305466	0.219202899	1.250491352	0	2.444209565	2.12042675	0.577626735	0	13.43705763	0	0.515918243	0.520198151	1.980846103	0	0.373511144	0	0	0	0	1.473138039	0	0.352587992	1.041032609	0.911259457	0.392109501	0	0	0.423726708	0	6.87681013	0	0.669814724	0	0.513223803	0	1.690334326	0	0.796573209	0.806735281	0	0	0	1.656788793	1.960806872	0	0	0	9.5859954	0.530434783	0	0	0	6.376516959	0.938244457	0.558515855	0.558515855	0.759094942	0	0	2.238008721	1.628548729	3.610582011	1.278255452
自动化	2.07725312	1.803577613	1.404513889	2.011561866	1.390939597	0.506459377	2.37332794	0.810840989	0	1.37860674	1.301106581	2.331644888	1.894595074	0.274456374	2.167162714	4.839136898	0.686865655	3.638814503	0.888294138	0.532468443	1.138268	1.172522792	0.353837551	1.137373061	2.53821499	3.737525988	2.517705095	0	1.205209025	1.559700838	1.779199628	1.813047842	0	1.311842919	0	0.707983291	0.643465103	0.523884244	2.329482948	1.81934232	1.533189033	0.990339927	0.267601934	1.50501771	0.545980707	0	0.79223647	1.344235033	1.080800042	0.286605938	1.348655967	3.969326344	0	1.391653892	0.513020833	1.008229098	1.136929922	4.009199902	5.714765101	0.355908584	3.345751634	0.404677113	0.226228632	1.098392283	1.766213592	1.538646798	1.008229098	0.968413089	0.691352175	0.443260568	1.062752826	2.340634717	1.391653892	0.308478471	1.237258065	0.415003246	0.4826546	0	2.174545069	4.635387224	0.801976316	0.538408995	0	0.738393728	0	2.772727273	0.449376537	0	4.150820115	0.529673284	5.485001948	4.114035088	1.74040747	4.777105631	1.268365075	0	2.310202551	3.395020151	6.656633222	0
智能机器人	2.041830487	0.772321116	0.555536481	2.170721873	0.115138889	0.326645018	0.442158467	1.478462781	1.382376941	0	1.353597576	1.725523929	1.052046784	1.089650198	0.78117137	1.271178189	2.808247193	1.118741906	1.15929913	0.460432963	0.487375559	1.01255836	0.928636947	1.861484512	0	2.524535809	0	0.239867424	0.93580936	0.570554042	2.723290598	0.871291374	0	2.417378917	0.687272236	3.167024822	1.261245675	0	1.495409605	1.342299578	0.790330079	0.964333102	0.698676178	1.564710395	1.798728814	2.014646215	0.513303213	1.397550684	1.052417688	0.748293327	0.871829904	2.548105683	1.480875109	1.355108359	2.701476793	0	0.489511494	1.279085743	0	0	1.843577431	1.591503268	0	3.618644068	2.890677966	0.495251938	0.871829904	0	0	0	0.688575269	7.555446214	3.691167834	0	1.611554622	2.185333547	0.62745098	0.806210692	4.288943146	3.744155465	0.519613821	0.699931694	0	0.478417603	1.653199741	4.360851064	0.584189498	1.619167917	0	0.688575269	1.260152597	2.266917293	0.749342105	1.018452381	0.821794872	0	4.029045236	4.435196538	3.629787234	0
